num_arms,min_gap,num_threads,epsilon,delta,elapsed,pulls,solved
100,0.01,16,0.01,0.01,2645,10989424,0
100,0.01,32,0.01,0.01,2868,10976544,0
100,0.01,64,0.01,0.01,11872,42031424,0
100,0.01,128,0.01,0.01,4684,15979904,0
100,0.01,1,0.001,0.1,1800,79708827,1
100,0.01,8,0.001,0.1,2780,11463272,0
100,0.01,16,0.001,0.1,8379,34432464,1
100,0.01,32,0.001,0.1,26897,93637248,0
100,0.01,64,0.001,0.1,8216,25340928,1
100,0.01,128,0.001,0.1,29750,89480064,0
100,0.01,1,0.001,0.05,1847,81735314,0
100,0.01,8,0.001,0.05,81242,326813384,0
100,0.01,16,0.001,0.05,26939,110733632,0
100,0.01,32,0.001,0.05,76699,297812064,1
100,0.01,64,0.001,0.05,3827,13088704,1
100,0.01,128,0.001,0.05,29561,99260672,0
100,0.01,1,0.001,0.01,182,7955248,0
100,0.01,8,0.001,0.01,2352,9469792,0
100,0.01,16,0.001,0.01,63375,266257520,0
100,0.01,32,0.001,0.01,76717,303310784,0
100,0.01,64,0.001,0.01,79262,280204928,0
100,0.01,128,0.001,0.01,88666,303644288,0
100,0.001,1,0.2,0.1,21,562576,0
100,0.001,8,0.2,0.1,115,568800,0
100,0.001,16,0.2,0.1,114,571200,0
100,0.001,32,0.2,0.1,132,576000,0
100,0.001,64,0.2,0.1,299,582400,0
100,0.001,128,0.2,0.1,199,588800,0
100,0.001,1,0.2,0.05,14,602300,0
100,0.001,8,0.2,0.05,160,603200,0
100,0.001,16,0.2,0.05,147,604800,0
100,0.001,32,0.2,0.05,164,606592,0
100,0.001,64,0.2,0.05,234,620800,0
100,0.001,128,0.2,0.05,212,627200,0
100,0.001,1,0.2,0.01,16,684700,0
100,0.001,8,0.2,0.01,177,685600,0
100,0.001,16,0.2,0.01,173,688000,0
100,0.001,32,0.2,0.01,191,691200,0
100,0.001,64,0.2,0.01,285,697600,0
100,0.001,128,0.2,0.01,238,704000,0
100,0.001,1,0.1,0.1,52,2304461,0
100,0.001,8,0.1,0.1,455,2163680,0
100,0.001,16,0.1,0.1,458,2273600,0
100,0.001,32,0.1,0.1,529,2135040,0
100,0.001,64,0.1,0.1,737,2284800,0
100,0.001,128,0.1,0.1,736,2380800,0
100,0.001,1,0.1,0.05,53,2348276,0
100,0.001,8,0.1,0.05,610,2387696,0
100,0.001,16,0.1,0.05,584,2390048,0
100,0.001,32,0.1,0.05,641,2359936,0
100,0.001,64,0.1,0.05,783,2445568,0
100,0.001,128,0.1,0.05,777,2515328,0
100,0.001,1,0.1,0.01,56,2486500,0
100,0.001,8,0.1,0.01,652,2681008,0
100,0.001,16,0.1,0.01,673,2790688,0
100,0.001,32,0.1,0.01,746,2795456,0
100,0.001,64,0.1,0.01,907,2804992,0
100,0.001,128,0.1,0.01,876,2854400,0
100,0.001,1,0.01,0.1,143,6341099,0
100,0.001,8,0.01,0.1,4286,17538664,0
100,0.001,16,0.01,0.1,4059,16737120,0
100,0.001,32,0.01,0.1,9927,37716800,0
100,0.001,64,0.01,0.1,1599,5478464,0
100,0.001,128,0.01,0.1,7053,24005120,0
100,0.001,1,0.01,0.05,833,36853280,0
100,0.001,8,0.01,0.05,2477,10417792,0
100,0.001,16,0.01,0.05,646,2649216,0
100,0.001,32,0.01,0.05,4133,15707520,0
100,0.001,64,0.01,0.05,2313,7749952,0
100,0.001,128,0.01,0.05,4567,15461504,0
100,0.001,1,0.01,0.01,848,37483420,0
100,0.001,8,0.01,0.01,9829,40534616,0
100,0.001,16,0.01,0.01,9896,40924464,0
100,0.001,32,0.01,0.01,7792,28813280,0
100,0.001,64,0.01,0.01,13515,47653952,0
100,0.001,128,0.01,0.01,8845,30229632,0
100,0.001,1,0.001,0.1,159,6922417,0
100,0.001,8,0.001,0.1,611,2586592,0
100,0.001,16,0.001,0.1,55236,233026560,0
100,0.001,32,0.001,0.1,9112,35071168,0
100,0.001,64,0.001,0.1,7646,26805888,0
100,0.001,128,0.001,0.1,1760,5878784,0
100,0.001,1,0.001,0.05,105,4619783,0
100,0.001,8,0.001,0.05,15868,67526080,0
100,0.001,16,0.001,0.05,2157,8933552,0
100,0.001,32,0.001,0.05,3169,11792992,0
100,0.001,64,0.001,0.05,3294,11399488,0
100,0.001,128,0.001,0.05,13302,45149312,0
100,0.001,1,0.001,0.01,741,32461866,0
100,0.001,8,0.001,0.01,3845,15936456,0
100,0.001,16,0.001,0.01,24393,101157360,0
100,0.001,32,0.001,0.01,2413,9424832,0
100,0.001,64,0.001,0.01,14614,50002496,0
100,0.001,128,0.001,0.01,97494,324745600,0
1000,0.4,1,0.2,0.1,15,382206,1
1000,0.4,8,0.2,0.1,77,265232,1
1000,0.4,16,0.2,0.1,97,394832,1
1000,0.4,32,0.2,0.1,110,416000,1
1000,0.4,64,0.2,0.1,207,448000,1
1000,0.4,128,0.2,0.1,222,511232,1
1000,0.4,1,0.2,0.05,9,406684,1
1000,0.4,8,0.2,0.05,117,412480,1
1000,0.4,16,0.2,0.05,117,416000,1
1000,0.4,32,0.2,0.05,130,415680,1
1000,0.4,64,0.2,0.05,181,447040,1
1000,0.4,128,0.2,0.05,220,504320,1
1000,0.4,1,0.2,0.01,9,458000,1
1000,0.4,8,0.2,0.01,123,445640,1
1000,0.4,16,0.2,0.01,123,477792,1
1000,0.4,32,0.2,0.01,107,374912,1
1000,0.4,64,0.2,0.01,211,512000,1
1000,0.4,128,0.2,0.01,219,510464,1
1000,0.4,1,0.1,0.1,8,382804,1
1000,0.4,8,0.1,0.1,108,372544,1
1000,0.4,16,0.1,0.1,112,398480,1
1000,0.4,32,0.1,0.1,126,413440,1
1000,0.4,64,0.1,0.1,193,448000,1
1000,0.4,128,0.1,0.1,219,510080,1
1000,0.4,1,0.1,0.05,8,404156,1
1000,0.4,8,0.1,0.05,84,288960,1
1000,0.4,16,0.1,0.05,106,410560,1
1000,0.4,32,0.1,0.05,101,361600,1
1000,0.4,64,0.1,0.05,209,440000,1
1000,0.4,128,0.1,0.05,222,512000,1
1000,0.4,1,0.1,0.01,9,443486,1
1000,0.4,8,0.1,0.01,123,460400,1
1000,0.4,16,0.1,0.01,124,455712,1
1000,0.4,32,0.1,0.01,152,512000,1
1000,0.4,64,0.1,0.01,203,465920,1
1000,0.4,128,0.1,0.01,223,510848,1
1000,0.4,1,0.01,0.1,8,351110,1
1000,0.4,8,0.01,0.1,101,391392,1
1000,0.4,16,0.01,0.1,85,324912,1
1000,0.4,32,0.01,0.1,111,416000,1
1000,0.4,64,0.01,0.1,214,448000,1
1000,0.4,128,0.01,0.1,218,512000,1
1000,0.4,1,0.01,0.05,9,407000,1
1000,0.4,8,0.01,0.05,64,226880,1
1000,0.4,16,0.01,0.05,103,404480,1
1000,0.4,32,0.01,0.05,116,414720,1
1000,0.4,64,0.01,0.05,194,447040,1
1000,0.4,128,0.01,0.05,228,512000,1
1000,0.4,1,0.01,0.01,9,449858,1
1000,0.4,8,0.01,0.01,130,463640,1
1000,0.4,16,0.01,0.01,128,470064,1
1000,0.4,32,0.01,0.01,156,507776,1
1000,0.4,64,0.01,0.01,208,512000,1
1000,0.4,128,0.01,0.01,224,509696,1
1000,0.4,1,0.001,0.1,8,383103,1
1000,0.4,8,0.001,0.1,113,378928,1
1000,0.4,16,0.001,0.1,111,399696,1
1000,0.4,32,0.001,0.1,122,416000,1
1000,0.4,64,0.001,0.1,199,448000,1
1000,0.4,128,0.001,0.1,231,511232,1
1000,0.4,1,0.001,0.05,8,405736,1
1000,0.4,8,0.001,0.05,102,340800,1
1000,0.4,16,0.001,0.05,93,321280,1
1000,0.4,32,0.001,0.05,124,416000,1
1000,0.4,64,0.001,0.05,198,448000,1
1000,0.4,128,0.001,0.05,225,507776,1
1000,0.4,1,0.001,0.01,9,427202,1
1000,0.4,8,0.001,0.01,126,463640,1
1000,0.4,16,0.001,0.01,117,439520,1
1000,0.4,32,0.001,0.01,144,503168,1
1000,0.4,64,0.001,0.01,208,511616,1
